Sun Feb 28 22:21:38 2021,00000001,Monash,https://www.google.com/maps/d/u/0/viewer?hl=en&mid=1vJJLXZKk6WBWYp-CkAPDxfyuoGA4U6i1&ll=-36.303192001904264%2C143.538005&z=19
Sun Feb 28 22:22:13 2021,SC1234,C1234,Nardoo Hills,3,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Sun Feb 28 22:47:27 2021,00000001,Monash,https://www.google.com/maps/d/u/0/viewer?hl=en&mid=1vJJLXZKk6WBWYp-CkAPDxfyuoGA4U6i1&ll=-36.303192001904264%2C143.538005&z=19
Sun Feb 28 22:48:01 2021,000001,000001,Monash,3,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:14:28 2021,00000001,00000001,Monash,1,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:15:11 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:15:34 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:19:07 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:20:17 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:20:49 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:22:11 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:25:12 2021,00000001,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:27:30 2021,0000003,00000001,Monash,2,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:28:53 2021,0000004,00000001,Monash,1,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:45:17 2021,00000001,00000001,Monash,1,GPS co ordins,NH_3a,NH_23,NH_3c,HZOI573,c02_23,DS_3a,bme_3a
Mon Mar  1 12:45:59 2021,00000001,Monash,https://www.google.com/maps/d/u/0/viewer?hl=en&mid=1vJJLXZKk6WBWYp-CkAPDxfyuoGA4U6i1&ll=-36.303192001904264%2C143.538005&z=19
