Sat Feb 27 22:58:20 2021,"T,23/01/2020 9:37:54,00000001,-106,-106, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,150"
Sun Feb 28 03:59:38 2021,"T,23/01/2020 9:37:54,00000001,-107,-107, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,155"
Sun Feb 28 14:11:26 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Sun Feb 28 17:25:50 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Sun Feb 28 17:57:40 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Sun Feb 28 17:57:42 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Sun Feb 28 17:57:42 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Sun Feb 28 17:57:43 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Sun Feb 28 22:26:36 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 10:10:36 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 10:11:42 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 10:11:44 2021,"T,23/01/2020 9:37:54,00000001,-108,-108, 1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 11:45:23 2021,"T,23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:15:25 2021,"T,23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:25:43 2021,"T,23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:27:14 2021,"23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:27:59 2021,"23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:28:00 2021,"23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:28:01 2021,"23/01/2020 9:37:54,1,-108,-108,1,34.32,3.7,2.0,00000003,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Mon Mar  1 12:45:28 2021,"23/01/2020 9:37:54,00000001,-108,-108,1,34.32,3.7,2.0,00000001,1,3,3,38.34,23,2.4,42.3,1004.56,45.21,239,0.205078,0.381238,1.801758,1059.8,13.02,156"
Tue Mar  2 13:21:52 2021,"2021/03/01 15:04:53,1,0,-43,0,19.75,0.00,0.07,1001,1,0,0,20.50,0.00,0.00,18.23,1014.72,47.48,-12.24,0.000,0.000,2.471,0.00,17.94,410"
